,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
63,2021-01-26,500,内地企业,Mainland Enterprises,1658,邮储银行,"Postal Savings Bank of China Co., Ltd.",HKG
64,2021-01-26,500,内地企业,Mainland Enterprises,1766,中国中车,CRRC CORPORATION LIMITED,HKG
65,2021-01-26,500,内地企业,Mainland Enterprises,1772,赣锋锂业,"Ganfeng Lithium Co., Ltd.",HKG
66,2021-01-26,500,内地企业,Mainland Enterprises,1776,广发证券,"GF SECURITIES CO., LTD.",HKG
67,2021-01-26,500,内地企业,Mainland Enterprises,1787,山东黄金,"SHANDONG GOLD MINING CO., LTD.",HKG
68,2021-01-26,500,内地企业,Mainland Enterprises,1800,中国交通建设,China Commu Cons,HKG
69,2021-01-26,500,内地企业,Mainland Enterprises,1801,信达生物,"Innovent Biologics, Inc.",HKG
70,2021-01-26,500,内地企业,Mainland Enterprises,1810,小米集团-W,XIAOMI CORPORATION,HKG
71,2021-01-26,500,内地企业,Mainland Enterprises,1816,中广核电力,"CGN Power Co., Ltd.",HKG
72,2021-01-26,500,内地企业,Mainland Enterprises,1833,平安好医生,PING AN HEALTHCARE AND TECHNOLOGY COMPANY LIMITED,HKG
73,2021-01-26,500,内地企业,Mainland Enterprises,1888,建滔积层板,KB Laminates,HKG
74,2021-01-26,500,内地企业,Mainland Enterprises,1918,融创中国,Sunac China,HKG
75,2021-01-26,500,内地企业,Mainland Enterprises,1919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",HKG
76,2021-01-26,500,内地企业,Mainland Enterprises,2007,碧桂园,Country Garden,HKG
77,2021-01-26,500,内地企业,Mainland Enterprises,2018,瑞声科技,AAC Technologies,HKG
78,2021-01-26,500,内地企业,Mainland Enterprises,2020,安踏体育,Anta Sports,HKG
79,2021-01-26,500,内地企业,Mainland Enterprises,2128,中国联塑,China Liansu,HKG
