,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
244,2021-01-26,500,内地企业,Mainland Enterprises,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,SHH
245,2021-01-26,500,内地企业,Mainland Enterprises,600763,通策医疗,TOPCHOICE MEDICAL CORPORATION,SHH
246,2021-01-26,500,内地企业,Mainland Enterprises,600764,中国海防,China Shipbuilding Industry Group and Marine Defense Information Against Limited,SHH
247,2021-01-26,500,内地企业,Mainland Enterprises,600801,华新水泥,Huaxin Cement Co Ltd,SHH
248,2021-01-26,500,内地企业,Mainland Enterprises,600808,马钢股份,Maanshan Iron and Steel Co Ltd,SHH
249,2021-01-26,500,内地企业,Mainland Enterprises,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,SHH
250,2021-01-26,500,内地企业,Mainland Enterprises,600820,隧道股份,Shanghai Tunnel Engineering Co Ltd,SHH
251,2021-01-26,500,内地企业,Mainland Enterprises,600837,海通证券,Haitong Securities Company Limited,SHH
252,2021-01-26,500,内地企业,Mainland Enterprises,600845,宝信软件,Shanghai Baosight Software Co Ltd,SHH
253,2021-01-26,500,内地企业,Mainland Enterprises,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,SHH
254,2021-01-26,500,内地企业,Mainland Enterprises,600862,中航高科,"Avic Aviation High-Technology Co., Ltd.",SHH
255,2021-01-26,500,内地企业,Mainland Enterprises,600867,通化东宝,"Tonghua Dongbao Pharmaceutical Co.,Ltd.",SHH
256,2021-01-26,500,内地企业,Mainland Enterprises,600872,中炬高新,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd.",SHH
257,2021-01-26,500,内地企业,Mainland Enterprises,600875,东方电气,Dongfang Electric Corporation Limited,SHH
258,2021-01-26,500,内地企业,Mainland Enterprises,600879,航天电子,"China Aerospace Times Electronics Co.,Ltd.",SHH
259,2021-01-26,500,内地企业,Mainland Enterprises,600885,宏发股份,"Hongfa Technology Co., Ltd.",SHH
260,2021-01-26,500,内地企业,Mainland Enterprises,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",SHH
261,2021-01-26,500,内地企业,Mainland Enterprises,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH
262,2021-01-26,500,内地企业,Mainland Enterprises,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,SHH
263,2021-01-26,500,内地企业,Mainland Enterprises,600900,长江电力,China Yangtze Power Co Ltd,SHH
264,2021-01-26,500,内地企业,Mainland Enterprises,600959,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,SHH
265,2021-01-26,500,内地企业,Mainland Enterprises,600967,内蒙一机,"Inner Mongolia First Machinery Group Co.,Ltd.",SHH
266,2021-01-26,500,内地企业,Mainland Enterprises,600977,中国电影,"CHINA FILM CO., LTD.",SHH
267,2021-01-26,500,内地企业,Mainland Enterprises,600989,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd.",SHH
268,2021-01-26,500,内地企业,Mainland Enterprises,600998,九州通,Jointown Pharmaceutical Group Co Ltd,SHH
269,2021-01-26,500,内地企业,Mainland Enterprises,600999,招商证券,China Merchants Securities Co Ltd,SHH
270,2021-01-26,500,内地企业,Mainland Enterprises,601006,大秦铁路,Daqin Railway Co Ltd,SHH
271,2021-01-26,500,内地企业,Mainland Enterprises,601012,隆基股份,"Longi Green Energy Technology Co., Ltd.",SHH
272,2021-01-26,500,内地企业,Mainland Enterprises,601066,中信建投,"China Securities Co., Ltd.",SHH
273,2021-01-26,500,内地企业,Mainland Enterprises,601088,中国神华,China Shenhua Energy Co Ltd,SHH
274,2021-01-26,500,内地企业,Mainland Enterprises,601098,中南传媒,China South Publishing & Media Group Co Ltd,SHH
275,2021-01-26,500,内地企业,Mainland Enterprises,601100,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd.",SHH
276,2021-01-26,500,内地企业,Mainland Enterprises,601106,中国一重,China First Heavy Industries Co Ltd,SHH
277,2021-01-26,500,内地企业,Mainland Enterprises,601111,中国国航,Air China Ltd,SHH
278,2021-01-26,500,内地企业,Mainland Enterprises,601117,中国化学,China National Chemical Engineering Co Ltd,SHH
279,2021-01-26,500,内地企业,Mainland Enterprises,601118,海南橡胶,China Hainan Rubber Industry Group Co Ltd,SHH
280,2021-01-26,500,内地企业,Mainland Enterprises,601138,工业富联,"Foxconn Industrial Internet Co., Ltd.",SHH
281,2021-01-26,500,内地企业,Mainland Enterprises,601155,新城控股,"Future Land Holdings Co., Ltd.",SHH
282,2021-01-26,500,内地企业,Mainland Enterprises,601166,兴业银行,Industrial Bank,SHH
283,2021-01-26,500,内地企业,Mainland Enterprises,601179,中国西电,China XD Electric Co Ltd,SHH
284,2021-01-26,500,内地企业,Mainland Enterprises,601186,中国铁建,China Railway Construction Co Ltd,SHH
285,2021-01-26,500,内地企业,Mainland Enterprises,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",SHH
286,2021-01-26,500,内地企业,Mainland Enterprises,601212,白银有色,"Baiyin Nonferrous Group Co., Ltd.",SHH
287,2021-01-26,500,内地企业,Mainland Enterprises,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",SHH
288,2021-01-26,500,内地企业,Mainland Enterprises,601225,陕西煤业,Shaanxi Coal Industry Company Limited,SHH
289,2021-01-26,500,内地企业,Mainland Enterprises,601231,环旭电子,"Universal Scientific Industrial (Shanghai) Co.,Ltd.",SHH
290,2021-01-26,500,内地企业,Mainland Enterprises,601233,桐昆股份,Tongkun Group Co Ltd,SHH
291,2021-01-26,500,内地企业,Mainland Enterprises,601238,广汽集团,"Guangzhou Automobile Group Co., Ltd.",SHH
292,2021-01-26,500,内地企业,Mainland Enterprises,601288,农业银行,Agricultural Bank of China Co Ltd,SHH
293,2021-01-26,500,内地企业,Mainland Enterprises,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,SHH
294,2021-01-26,500,内地企业,Mainland Enterprises,601360,三六零,360 Security Technology Inc.,SHH
295,2021-01-26,500,内地企业,Mainland Enterprises,601390,中国中铁,China Railway Group Limited,SHH
296,2021-01-26,500,内地企业,Mainland Enterprises,601398,工商银行,Industrial and Commercial Bank of China Ltd,SHH
297,2021-01-26,500,内地企业,Mainland Enterprises,601600,中国铝业,Aluminum Corporation of China Limited,SHH
298,2021-01-26,500,内地企业,Mainland Enterprises,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",SHH
299,2021-01-26,500,内地企业,Mainland Enterprises,601608,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",SHH
300,2021-01-26,500,内地企业,Mainland Enterprises,601611,中国核建,China Nuclear Engineering Corporation Limited,SHH
301,2021-01-26,500,内地企业,Mainland Enterprises,601615,明阳智能,MingYangSmartEnergyGroupLimited,SHH
302,2021-01-26,500,内地企业,Mainland Enterprises,601618,中国中冶,Metallurgical Corporation of China Co Ltd,SHH
303,2021-01-26,500,内地企业,Mainland Enterprises,601628,中国人寿,China Life Insurance Company Limited,SHH
304,2021-01-26,500,内地企业,Mainland Enterprises,601633,长城汽车,Great Wall Motor Co Ltd,SHH
305,2021-01-26,500,内地企业,Mainland Enterprises,601658,邮储银行,"POSTAL SAVINGS BANK OF CHINA CO., LTD.",SHH
306,2021-01-26,500,内地企业,Mainland Enterprises,601668,中国建筑,China State Construction Engineering Co Ltd,SHH
307,2021-01-26,500,内地企业,Mainland Enterprises,601669,中国电建,"Power Construction Corporation of China,Ltd",SHH
308,2021-01-26,500,内地企业,Mainland Enterprises,601688,华泰证券,Huatai Securities Co Ltd,SHH
309,2021-01-26,500,内地企业,Mainland Enterprises,601689,拓普集团,"Ningbo Tuopu Group Co., Ltd.",SHH
310,2021-01-26,500,内地企业,Mainland Enterprises,601718,际华集团,Jihua Group Co Ltd,SHH
311,2021-01-26,500,内地企业,Mainland Enterprises,601727,上海电气,Shanghai Electric Group Co Ltd,SHH
312,2021-01-26,500,内地企业,Mainland Enterprises,601766,中国中车,CRRC Corporation Limited,SHH
313,2021-01-26,500,内地企业,Mainland Enterprises,601799,星宇股份,Changzhou Xingyu Automotive Lighting Systems Co Ltd,SHH
314,2021-01-26,500,内地企业,Mainland Enterprises,601800,中国交建,China Communications Construction Company Limited,SHH
315,2021-01-26,500,内地企业,Mainland Enterprises,601808,中海油服,China Oilfield Services Limited,SHH
316,2021-01-26,500,内地企业,Mainland Enterprises,601816,京沪高铁,"Beijing-Shanghai High Speed Railway Co.,Ltd",SHH
317,2021-01-26,500,内地企业,Mainland Enterprises,601828,美凯龙,Red Star Macalline Group Corporation Ltd.,SHH
318,2021-01-26,500,内地企业,Mainland Enterprises,601857,中国石油,PetroChina Co Ltd,SHH
319,2021-01-26,500,内地企业,Mainland Enterprises,601865,福莱特,"Flat Glass Group CO.,LTD.",SHH
320,2021-01-26,500,内地企业,Mainland Enterprises,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,SHH
321,2021-01-26,500,内地企业,Mainland Enterprises,601888,中国中免,China Tourism Group Duty Free Corporation Limited,SHH
322,2021-01-26,500,内地企业,Mainland Enterprises,601898,中煤能源,China Coal Energy Co Ltd,SHH
323,2021-01-26,500,内地企业,Mainland Enterprises,601899,紫金矿业,Zijin Mining Group Co Ltd,SHH
324,2021-01-26,500,内地企业,Mainland Enterprises,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",SHH
325,2021-01-26,500,内地企业,Mainland Enterprises,601928,凤凰传媒,Jiangsu Phoenix Publishing & Media Co Ltd,SHH
326,2021-01-26,500,内地企业,Mainland Enterprises,601933,永辉超市,Yonghui Superstores Co Ltd,SHH
327,2021-01-26,500,内地企业,Mainland Enterprises,601939,建设银行,China Construction Bank,SHH
328,2021-01-26,500,内地企业,Mainland Enterprises,601958,金钼股份,Jinduicheng Molybdenum Co Ltd,SHH
329,2021-01-26,500,内地企业,Mainland Enterprises,601966,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",SHH
330,2021-01-26,500,内地企业,Mainland Enterprises,601985,中国核电,"China National Nuclear Power Co.,Ltd.",SHH
331,2021-01-26,500,内地企业,Mainland Enterprises,601988,中国银行,Bank of China Ltd,SHH
332,2021-01-26,500,内地企业,Mainland Enterprises,601989,中国重工,China Shipbuilding Industry Co Ltd,SHH
333,2021-01-26,500,内地企业,Mainland Enterprises,601992,金隅集团,BBMG Corporation,SHH
334,2021-01-26,500,内地企业,Mainland Enterprises,603000,人民网,"People.cn CO.,LTD",SHH
335,2021-01-26,500,内地企业,Mainland Enterprises,603019,中科曙光,"Dawning Information Industry Co., Ltd.",SHH
336,2021-01-26,500,内地企业,Mainland Enterprises,603087,甘李药业,Gan & Lee Pharmaceuticals,SHH
337,2021-01-26,500,内地企业,Mainland Enterprises,603160,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",SHH
338,2021-01-26,500,内地企业,Mainland Enterprises,603195,公牛集团,"GONGNIU GROUP CO., LTD.",SHH
339,2021-01-26,500,内地企业,Mainland Enterprises,603228,景旺电子,"Shenzhen Kinwong Electronic Co.,Ltd.",SHH
340,2021-01-26,500,内地企业,Mainland Enterprises,603233,大参林,"DaShenLin Pharmaceutical Group Co., Ltd.",SHH
341,2021-01-26,500,内地企业,Mainland Enterprises,603259,药明康德,"WuXi AppTec Co., Ltd.",SHH
342,2021-01-26,500,内地企业,Mainland Enterprises,603260,合盛硅业,"HOSHINE SILICON INDUSTRY CO.,LTD",SHH
343,2021-01-26,500,内地企业,Mainland Enterprises,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,SHH
344,2021-01-26,500,内地企业,Mainland Enterprises,603338,浙江鼎力,"Zhejiang Dingli Machinery Co.,Ltd.",SHH
345,2021-01-26,500,内地企业,Mainland Enterprises,603369,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",SHH
346,2021-01-26,500,内地企业,Mainland Enterprises,603392,万泰生物,"BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD.",SHH
347,2021-01-26,500,内地企业,Mainland Enterprises,603444,吉比特,"G-bits Network Technology(Xiamen)Co., Ltd.",SHH
348,2021-01-26,500,内地企业,Mainland Enterprises,603501,韦尔股份,"Will Semiconductor CO.,Ltd. Shanghai",SHH
349,2021-01-26,500,内地企业,Mainland Enterprises,603515,欧普照明,"Opple Lighting Co., LTD.",SHH
350,2021-01-26,500,内地企业,Mainland Enterprises,603568,伟明环保,"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO., LTD.",SHH
351,2021-01-26,500,内地企业,Mainland Enterprises,603638,艾迪精密,"Yantai Eddie Precision Machinery Co., Ltd.",SHH
352,2021-01-26,500,内地企业,Mainland Enterprises,603658,安图生物,"Autobio Diagnostics Co., Ltd.",SHH
353,2021-01-26,500,内地企业,Mainland Enterprises,603659,璞泰来,"Shanghai Putailai New Energy Technology Co., Ltd.",SHH
354,2021-01-26,500,内地企业,Mainland Enterprises,603737,三棵树,"SKSHU Paint Co., Ltd.",SHH
355,2021-01-26,500,内地企业,Mainland Enterprises,603786,科博达,"KEBODA TECHNOLOGY Co., Ltd.",SHH
356,2021-01-26,500,内地企业,Mainland Enterprises,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",SHH
357,2021-01-26,500,内地企业,Mainland Enterprises,603806,福斯特,"HANGZHOU FIRST PV MATERIAL Co., LTD.",SHH
358,2021-01-26,500,内地企业,Mainland Enterprises,603816,顾家家居,"Jason Furniture (Hangzhou) Co.,Ltd.",SHH
359,2021-01-26,500,内地企业,Mainland Enterprises,603833,欧派家居,Oppein Home Group Inc.,SHH
360,2021-01-26,500,内地企业,Mainland Enterprises,603899,晨光文具,SHANGHAI M&G STATIONERY INC.,SHH
361,2021-01-26,500,内地企业,Mainland Enterprises,603927,中科软,"Sinosoft Co.,Ltd",SHH
362,2021-01-26,500,内地企业,Mainland Enterprises,603939,益丰药房,"Yifeng Pharmacy Chain Co., Ltd.",SHH
363,2021-01-26,500,内地企业,Mainland Enterprises,603983,丸美股份,"Guangdong Marubi Biotechnology Co., Ltd.",SHH
364,2021-01-26,500,内地企业,Mainland Enterprises,603986,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,SHH
365,2021-01-26,500,内地企业,Mainland Enterprises,603993,洛阳钼业,"China Molybdenum Co., Ltd.",SHH
366,2021-01-26,500,内地企业,Mainland Enterprises,688002,睿创微纳,"Raytron Technology Co.,Ltd",SHH
367,2021-01-26,500,内地企业,Mainland Enterprises,688006,杭可科技,Zhejiang HangKe Technology Incorporated Company,SHH
368,2021-01-26,500,内地企业,Mainland Enterprises,688008,澜起科技,"Montage Technology Co., Ltd.",SHH
369,2021-01-26,500,内地企业,Mainland Enterprises,688009,中国通号,China Railway Signal & Communication Corporation Limited,SHH
370,2021-01-26,500,内地企业,Mainland Enterprises,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",SHH
371,2021-01-26,500,内地企业,Mainland Enterprises,000002,万科A,China Vanke Co Ltd,SHZ
372,2021-01-26,500,内地企业,Mainland Enterprises,000009,中国宝安,"China Baoan Group Co.,Ltd.",SHZ
373,2021-01-26,500,内地企业,Mainland Enterprises,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",SHZ
374,2021-01-26,500,内地企业,Mainland Enterprises,000039,中集集团,China International Marine Containers (Group) Co Ltd,SHZ
375,2021-01-26,500,内地企业,Mainland Enterprises,000050,深天马A,Tianma Microelectronics Co Ltd,SHZ
376,2021-01-26,500,内地企业,Mainland Enterprises,000063,中兴通讯,ZTE Corporation,SHZ
377,2021-01-26,500,内地企业,Mainland Enterprises,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",SHZ
378,2021-01-26,500,内地企业,Mainland Enterprises,000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,SHZ
379,2021-01-26,500,内地企业,Mainland Enterprises,000100,TCL科技,TCL Technology Group Corporation,SHZ
380,2021-01-26,500,内地企业,Mainland Enterprises,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,SHZ
381,2021-01-26,500,内地企业,Mainland Enterprises,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",SHZ
382,2021-01-26,500,内地企业,Mainland Enterprises,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",SHZ
383,2021-01-26,500,内地企业,Mainland Enterprises,000333,美的集团,"Midea Group CO., LTD",SHZ
384,2021-01-26,500,内地企业,Mainland Enterprises,000338,潍柴动力,Wei Chai Power Co Ltd,SHZ
385,2021-01-26,500,内地企业,Mainland Enterprises,000401,冀东水泥,Tangshan Jidong Cement Co Ltd,SHZ
386,2021-01-26,500,内地企业,Mainland Enterprises,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",SHZ
387,2021-01-26,500,内地企业,Mainland Enterprises,000425,徐工机械,XCMG Construction Machinery Co Ltd,SHZ
388,2021-01-26,500,内地企业,Mainland Enterprises,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",SHZ
389,2021-01-26,500,内地企业,Mainland Enterprises,000547,航天发展,"Addsino Co., Ltd",SHZ
390,2021-01-26,500,内地企业,Mainland Enterprises,000553,安道麦A,ADAMA Ltd.,SHZ
391,2021-01-26,500,内地企业,Mainland Enterprises,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,SHZ
392,2021-01-26,500,内地企业,Mainland Enterprises,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,SHZ
393,2021-01-26,500,内地企业,Mainland Enterprises,000625,长安汽车,Chongqing Changan Automobile Co Ltd,SHZ
394,2021-01-26,500,内地企业,Mainland Enterprises,000629,攀钢钒钛,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",SHZ
395,2021-01-26,500,内地企业,Mainland Enterprises,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,SHZ
396,2021-01-26,500,内地企业,Mainland Enterprises,000636,风华高科,Guangdong Fenghua Advanced Technology (Holding) Co Ltd,SHZ
397,2021-01-26,500,内地企业,Mainland Enterprises,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",SHZ
398,2021-01-26,500,内地企业,Mainland Enterprises,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,SHZ
399,2021-01-26,500,内地企业,Mainland Enterprises,000703,恒逸石化,Hengyi Petrochemical Co Ltd,SHZ
400,2021-01-26,500,内地企业,Mainland Enterprises,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",SHZ
401,2021-01-26,500,内地企业,Mainland Enterprises,000709,河钢股份,HESTEEL COMPANY LIMITED,SHZ
402,2021-01-26,500,内地企业,Mainland Enterprises,000725,京东方A,BOE Technology Group Co Ltd,SHZ
403,2021-01-26,500,内地企业,Mainland Enterprises,000738,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",SHZ
404,2021-01-26,500,内地企业,Mainland Enterprises,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,SHZ
405,2021-01-26,500,内地企业,Mainland Enterprises,000776,广发证券,"GF Securities Co., Ltd.",SHZ
406,2021-01-26,500,内地企业,Mainland Enterprises,000786,北新建材,Beijing New Building Materials Public Ltd Co,SHZ
407,2021-01-26,500,内地企业,Mainland Enterprises,000800,一汽解放,"FAW Jiefang Group Co., Ltd",SHZ
408,2021-01-26,500,内地企业,Mainland Enterprises,000825,太钢不锈,Shanxi Taigang Stainless Steel Co Ltd,SHZ
409,2021-01-26,500,内地企业,Mainland Enterprises,000858,五 粮 液,Wuliangye Yibin Co Ltd,SHZ
410,2021-01-26,500,内地企业,Mainland Enterprises,000860,顺鑫农业,Beijing Shunxin Agriculture Co Ltd,SHZ
411,2021-01-26,500,内地企业,Mainland Enterprises,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",SHZ
412,2021-01-26,500,内地企业,Mainland Enterprises,000878,云南铜业,Yunnan Copper Co Ltd,SHZ
413,2021-01-26,500,内地企业,Mainland Enterprises,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,SHZ
414,2021-01-26,500,内地企业,Mainland Enterprises,000898,鞍钢股份,Angang Steel Co Ltd,SHZ
415,2021-01-26,500,内地企业,Mainland Enterprises,000932,华菱钢铁,Hunan Valin Steel Co Ltd,SHZ
416,2021-01-26,500,内地企业,Mainland Enterprises,000938,紫光股份,"Unisplendour Co., Ltd.",SHZ
417,2021-01-26,500,内地企业,Mainland Enterprises,000963,华东医药,Huadong Medicine Co Ltd,SHZ
418,2021-01-26,500,内地企业,Mainland Enterprises,000967,盈峰环境,Infore Environment Technology Group Co. Ltd.,SHZ
419,2021-01-26,500,内地企业,Mainland Enterprises,000975,银泰黄金,"Yintai Gold Co.,Ltd.",SHZ
420,2021-01-26,500,内地企业,Mainland Enterprises,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",SHZ
421,2021-01-26,500,内地企业,Mainland Enterprises,000988,华工科技,Huagong Tech Co Ltd,SHZ
422,2021-01-26,500,内地企业,Mainland Enterprises,000999,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,SHZ
423,2021-01-26,500,内地企业,Mainland Enterprises,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",SHZ
424,2021-01-26,500,内地企业,Mainland Enterprises,002001,新和成,Zhejiang NHU Co Ltd,SHZ
425,2021-01-26,500,内地企业,Mainland Enterprises,002007,华兰生物,Hualan Biological Engineering INC,SHZ
426,2021-01-26,500,内地企业,Mainland Enterprises,002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",SHZ
427,2021-01-26,500,内地企业,Mainland Enterprises,002013,中航机电,"AVIC Electromechanical Systems Co., Ltd.",SHZ
428,2021-01-26,500,内地企业,Mainland Enterprises,002024,苏宁易购,"SUNING.COM CO.,LTD.",SHZ
429,2021-01-26,500,内地企业,Mainland Enterprises,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",SHZ
430,2021-01-26,500,内地企业,Mainland Enterprises,002032,苏泊尔,"Zhejiang Supor Co.,Ltd",SHZ
431,2021-01-26,500,内地企业,Mainland Enterprises,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",SHZ
432,2021-01-26,500,内地企业,Mainland Enterprises,002050,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",SHZ
433,2021-01-26,500,内地企业,Mainland Enterprises,002064,华峰化学,"Huafon Chemical Co., Ltd.",SHZ
434,2021-01-26,500,内地企业,Mainland Enterprises,002065,东华软件,"DHC Software Co.,Ltd.",SHZ
435,2021-01-26,500,内地企业,Mainland Enterprises,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",SHZ
436,2021-01-26,500,内地企业,Mainland Enterprises,002075,沙钢股份,Jiangsu Shagang Co Ltd,SHZ
437,2021-01-26,500,内地企业,Mainland Enterprises,002078,太阳纸业,Shan Dong Sun Paper Industry Joint Stock Co Ltd,SHZ
438,2021-01-26,500,内地企业,Mainland Enterprises,002080,中材科技,Sinoma Science & Technology Co Ltd,SHZ
439,2021-01-26,500,内地企业,Mainland Enterprises,002081,金螳螂,Suzhou Gold Mantis Construction Decoration Co Ltd,SHZ
440,2021-01-26,500,内地企业,Mainland Enterprises,002120,韵达股份,"YUNDA Holding CO., Ltd.",SHZ
441,2021-01-26,500,内地企业,Mainland Enterprises,002127,南极电商,"NanJi E-Commerce Co., LTD",SHZ
442,2021-01-26,500,内地企业,Mainland Enterprises,002129,中环股份,"Tianjin Zhonghuan Semiconductor Co., Ltd.",SHZ
443,2021-01-26,500,内地企业,Mainland Enterprises,002138,顺络电子,Shenzhen Sunlord Electronics Co Ltd,SHZ
444,2021-01-26,500,内地企业,Mainland Enterprises,002152,广电运通,GRG Banking Equipment Co Ltd,SHZ
445,2021-01-26,500,内地企业,Mainland Enterprises,002153,石基信息,Beijing Shiji Information Technology Co Ltd,SHZ
446,2021-01-26,500,内地企业,Mainland Enterprises,002157,正邦科技,Jiangxi Zhengbang Technology Co Ltd,SHZ
447,2021-01-26,500,内地企业,Mainland Enterprises,002179,中航光电,"AVIC Jonhon Optronic Technology Co.,Ltd.",SHZ
448,2021-01-26,500,内地企业,Mainland Enterprises,002180,纳思达,Ninestar Corporation,SHZ
449,2021-01-26,500,内地企业,Mainland Enterprises,002191,劲嘉股份,"SHENZHEN JINJIA GROUP CO.,LTD.",SHZ
450,2021-01-26,500,内地企业,Mainland Enterprises,002202,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,SHZ
451,2021-01-26,500,内地企业,Mainland Enterprises,002212,天融信,Topsec Technologies Group Inc.,SHZ
452,2021-01-26,500,内地企业,Mainland Enterprises,002230,科大讯飞,"Iflytek Co.,Ltd.",SHZ
453,2021-01-26,500,内地企业,Mainland Enterprises,002236,大华股份,Zhejiang Dahua Technology Co Ltd,SHZ
454,2021-01-26,500,内地企业,Mainland Enterprises,002241,歌尔股份,GoerTek Inc,SHZ
455,2021-01-26,500,内地企业,Mainland Enterprises,002242,九阳股份,Joyoung Co Ltd,SHZ
456,2021-01-26,500,内地企业,Mainland Enterprises,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,SHZ
457,2021-01-26,500,内地企业,Mainland Enterprises,002268,卫士通,Westone Information Industry Inc,SHZ
458,2021-01-26,500,内地企业,Mainland Enterprises,002271,东方雨虹,Beijing Oriental Yuhong Waterproof Technology Co Ltd,SHZ
459,2021-01-26,500,内地企业,Mainland Enterprises,002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,SHZ
460,2021-01-26,500,内地企业,Mainland Enterprises,002311,海大集团,Guangdong Haid Group Co Ltd,SHZ
461,2021-01-26,500,内地企业,Mainland Enterprises,002340,格林美,Shenzhen Green Eco-manufacture Hi-tech Co Ltd,SHZ
462,2021-01-26,500,内地企业,Mainland Enterprises,002352,顺丰控股,"S.F. Holding Co., Ltd.",SHZ
463,2021-01-26,500,内地企业,Mainland Enterprises,002371,北方华创,"NAURA Technology Group Co.,Ltd.",SHZ
464,2021-01-26,500,内地企业,Mainland Enterprises,002372,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,SHZ
465,2021-01-26,500,内地企业,Mainland Enterprises,002373,千方科技,Surekam Corporation,SHZ
466,2021-01-26,500,内地企业,Mainland Enterprises,002384,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,SHZ
467,2021-01-26,500,内地企业,Mainland Enterprises,002387,维信诺,Visionox Technology Inc.,SHZ
468,2021-01-26,500,内地企业,Mainland Enterprises,002399,海普瑞,Shenzhen Hepalink Pharmaceutical Co Ltd,SHZ
469,2021-01-26,500,内地企业,Mainland Enterprises,002405,四维图新,NavInfo Co Ltd,SHZ
470,2021-01-26,500,内地企业,Mainland Enterprises,002410,广联达,Glodon Software Co Ltd,SHZ
471,2021-01-26,500,内地企业,Mainland Enterprises,002414,高德红外,Wuhan Guide Infrared Co Ltd,SHZ
472,2021-01-26,500,内地企业,Mainland Enterprises,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,SHZ
473,2021-01-26,500,内地企业,Mainland Enterprises,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,SHZ
474,2021-01-26,500,内地企业,Mainland Enterprises,002439,启明星辰,Beijing Venustech Inc.,SHZ
475,2021-01-26,500,内地企业,Mainland Enterprises,002456,欧菲光,"OFILM Group Co., Ltd.",SHZ
476,2021-01-26,500,内地企业,Mainland Enterprises,002459,晶澳科技,"JA Solar Technology Co., Ltd.",SHZ
477,2021-01-26,500,内地企业,Mainland Enterprises,002460,赣锋锂业,Ganfeng Lithium Co Ltd,SHZ
