,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange,权重(%)Weight(%)
54,2020-12-31,300,沪深300,CSI 300,600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH,0.09
55,2020-12-31,300,沪深300,CSI 300,600519,贵州茅台,Kweichow Moutai Co Ltd,SHH,5.12
56,2020-12-31,300,沪深300,CSI 300,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH,0.14
57,2020-12-31,300,沪深300,CSI 300,600547,山东黄金,Shandong Gold-Mining Co Ltd,SHH,0.22
58,2020-12-31,300,沪深300,CSI 300,600570,恒生电子,Hundsun Technologies Inc.,SHH,0.45
59,2020-12-31,300,沪深300,CSI 300,600584,长电科技,"JCET Group Co., Ltd.",SHH,0.24
60,2020-12-31,300,沪深300,CSI 300,600585,海螺水泥,Anhui Conch Cement Co Ltd,SHH,0.63
61,2020-12-31,300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",SHH,0.37
62,2020-12-31,300,沪深300,CSI 300,600600,青岛啤酒,Tsingtao Brewery Co Ltd,SHH,0.18
63,2020-12-31,300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,SHH,0.11
64,2020-12-31,300,沪深300,CSI 300,600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH,0.09
65,2020-12-31,300,沪深300,CSI 300,600655,豫园股份,"SHANGHAI YUYUAN TOURIST MART (GROUP) CO., LTD.",SHH,0.07
66,2020-12-31,300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH,0.34
67,2020-12-31,300,沪深300,CSI 300,600690,海尔智家,"Haier Smart Home Co., Ltd.",SHH,0.56
68,2020-12-31,300,沪深300,CSI 300,600703,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH,0.31
69,2020-12-31,300,沪深300,CSI 300,600705,中航资本,"AVIC CAPITAL CO.,LTD.",SHH,0.12
70,2020-12-31,300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,SHH,0.23
71,2020-12-31,300,沪深300,CSI 300,600745,闻泰科技,"Wingtech Technology Co.,Ltd.",SHH,0.25
72,2020-12-31,300,沪深300,CSI 300,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,SHH,0.17
73,2020-12-31,300,沪深300,CSI 300,600763,通策医疗,TOPCHOICE MEDICAL CORPORATION,SHH,0.32
74,2020-12-31,300,沪深300,CSI 300,600795,国电电力,GD Power Development Co Ltd,SHH,0.14
75,2020-12-31,300,沪深300,CSI 300,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,SHH,0.67
76,2020-12-31,300,沪深300,CSI 300,600837,海通证券,Haitong Securities Company Limited,SHH,0.51
77,2020-12-31,300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,SHH,0.09
78,2020-12-31,300,沪深300,CSI 300,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,SHH,0.06
79,2020-12-31,300,沪深300,CSI 300,600872,中炬高新,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd.",SHH,0.19
80,2020-12-31,300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",SHH,0.12
81,2020-12-31,300,沪深300,CSI 300,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH,1.38
82,2020-12-31,300,沪深300,CSI 300,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,SHH,0.32
83,2020-12-31,300,沪深300,CSI 300,600900,长江电力,China Yangtze Power Co Ltd,SHH,0.89
84,2020-12-31,300,沪深300,CSI 300,600918,中泰证券,"ZHONGTAI SECURITIES CO., LTD.",SHH,0.07
85,2020-12-31,300,沪深300,CSI 300,600919,江苏银行,"Bank of Jiangsu Co., Ltd",SHH,0.33
86,2020-12-31,300,沪深300,CSI 300,600926,杭州银行,"BANK OF HANGZHOU CO., LTD",SHH,0.23
87,2020-12-31,300,沪深300,CSI 300,600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,SHH,0.25
88,2020-12-31,300,沪深300,CSI 300,600989,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd.",SHH,0.04
89,2020-12-31,300,沪深300,CSI 300,600998,九州通,Jointown Pharmaceutical Group Co Ltd,SHH,0.07
90,2020-12-31,300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,SHH,0.44
91,2020-12-31,300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,SHH,0.2
92,2020-12-31,300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,SHH,0.25
93,2020-12-31,300,沪深300,CSI 300,601012,隆基股份,"Longi Green Energy Technology Co., Ltd.",SHH,1.24
94,2020-12-31,300,沪深300,CSI 300,601021,春秋航空,"Spring Airlines Co., Ltd.",SHH,0.1
95,2020-12-31,300,沪深300,CSI 300,601066,中信建投,"China Securities Co., Ltd.",SHH,0.21
96,2020-12-31,300,沪深300,CSI 300,601077,渝农商行,"Chongqing Rural Commercial Bank Co., Ltd.",SHH,0.04
97,2020-12-31,300,沪深300,CSI 300,601088,中国神华,China Shenhua Energy Co Ltd,SHH,0.3
98,2020-12-31,300,沪深300,CSI 300,601100,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd.",SHH,0.23
99,2020-12-31,300,沪深300,CSI 300,601108,财通证券,"CAITONG SECURITIES CO.,LTD.",SHH,0.16
