Code,Constituent Name
1608,VPOWER GROUP
1610,COFCO JOYCOME
1618,MCC
1622,REDCO GROUP
1628,YUZHOU GROUP
1638,KAISA GROUP
1658,PSBC
1666,TONG REN TANG
1668,CHINASOUTHCITY
1675,ASIAINFO TECH
1686,SUNEVISION
1691,JS GLOBAL LIFE
1717,AUSNUTRIA
1728,ZHENGTONGAUTO
1765,HOPE EDU
1766,CRRC
1773,TIANLI EDU
1776,GF SEC
1777,FANTASIA
1778,COLOUR LIFE
1787,SD GOLD
1788,GUOTAI JUNAN I
1789,AK MEDICAL
1797,KOOLEARN
1800,CHINA COMM CONS
1801,INNOVENT BIO
1810,XIAOMI-W
1811,CGN NEW ENERGY
1813,KWG GROUP
1816,CGN POWER
1817,MULSANNE GROUP
1818,ZHAOJIN MINING
1833,PA GOODDOCTOR
1836,STELLA HOLDINGS
1848,CALC
1860,MOBVISTA
1873,VIVA BIOTECH
1876,BUD APAC
1881,REGAL REIT
1882,HAITIAN INT'L
1883,CITIC TELECOM
1888,KB LAMINATES
1890,CHINA KEPEI
1896,MAOYAN ENT
1898,CHINA COAL
1907,CHINA RISUN GP
1908,C&D INTL GROUP
1910,SAMSONITE
1911,CR HOLDINGS
1913,PRADA
1918,SUNAC
1919,COSCO SHIP HOLD
1928,SANDS CHINA LTD
1929,CHOW TAI FOOK
1951,JXR
1958,BAIC MOTOR
1963,BCQ
1966,CHINA SCE GROUP
1970,IMAX CHINA
1972,SWIREPROPERTIES
1988,MINSHENG BANK
1995,EVERSUNSHINE LS
1996,RSUN PPT
1997,WHARF REIC
1999,MAN WAH HLDGS
2001,NEW HIGHER EDU
2005,SSY GROUP
2007,COUNTRY GARDEN
2009,BBMG
2013,WEIMOB INC
2018,AAC TECH
2019,DEXIN CHINA
2020,ANTA SPORTS
2038,FIH
2039,CIMC
2048,E-HOUSE ENT
2057,ZTO EXPRESS-SW
2103,SINIC HOLDINGS
2128,CHINA LESSO
2186,LUYE PHARMA
2196,FOSUN PHARMA
2202,CHINA VANKE
2208,GOLDWIND
2233,WESTCHINACEMENT
2238,GAC GROUP
2269,WUXI BIO
2282,MGM CHINA
2313,SHENZHOU INTL
2314,LEE & MAN PAPER
2318,PING AN
2319,MENGNIU DAIRY
2328,PICC P&C
2329,GUORUI PPT
2331,LI NING
2333,GREATWALL MOTOR
2338,WEICHAI POWER
2342,COMBA
2343,PACIFIC BASIN
2356,DAHSING BANKING
2357,AVICHINA
2359,WUXI APPTEC
2380,CHINA POWER
2382,SUNNY OPTICAL
2386,SINOPEC SEG
2388,BOC HONG KONG
2400,XD INC
2500,VENUS MEDTECH-B
2588,BOC AVIATION
2600,CHALCO
2601,CPIC
2607,SH PHARMA
2611,GTJA
2628,CHINA LIFE
2638,HKELECTRIC-SS
2666,UNI MEDICAL
2669,CHINA OVS PPT
2678,TEXHONG TEXTILE
2688,ENN ENERGY
2689,ND PAPER
2727,SH ELECTRIC
2768,JIAYUAN INTL
2772,ZHONGLIANG HLDG
2777,R&F PROPERTIES
2778,CHAMPION REIT
2799,CHINA HUARONG
2858,YIXIN
2869,GREENTOWN SER
2877,SHINEWAY PHARM
2883,CHINA OILFIELD
2899,ZIJIN MINING
2982,HENGTEN NET
3301,RONSHINECHINA
3306,JNBY
3309,C-MER EYE
3311,CHINA STATE CON
3319,A-LIVING
3320,CHINARES PHARMA
3323,CNBM
3328,BANKCOMM
3331,VINDA INT'L
3333,EVERGRANDE
3339,LONKING
3360,FE HORIZON
3377,SINO-OCEAN GP
3380,LOGAN GROUP
3383,AGILE GROUP
3396,LEGENDHOLDING
3606,FUYAO GLASS
3613,TONGRENTANGCM
3618,CQRC BANK
3633,ZHONGYU GAS
3669,YONGDA AUTO
3690,MEITUAN-W
3692,HANSOH PHARMA
3759,PHARMARON
3799,DALI FOODS
3800,GCL-POLY ENERGY
3808,SINOTRUK
3813,POU SHENG INT'L
3818,CHINA DONGXIANG
3836,HARMONY AUTO
3868,XINYI ENERGY
3877,CSSC SHIPPING
3883,CHINA AOYUAN
3888,KINGSOFT
3898,CRRC TIMES ELEC
3899,CIMC ENRIC
3900,GREENTOWN CHINA
3908,CICC
3918,NAGACORP
3933,UNITED LAB
3958,DFZQ
3968,CM BANK
3969,CHINA CRSC
3988,BANK OF CHINA
3990,MIDEA REAL EST
3993,CMOC
3998,BOSIDENG
6030,CITIC SEC
6049,POLY PPT SER
6055,CTIHK
6060,ZA ONLINE
6066,CSC
6068,WISDOM EDU INTL
6069,SHENGYE CAPITAL
6078,HYGEIA HEALTH
6088,FIT HON TENG
6098,CG SERVICES
6099,CMSC
6110,TOPSPORTS
6158,ZHENRO PPT
6160,BEIGENE
6166,CHINA VAST
6169,YUHUA EDU
6185,CANSINOBIO-B
6186,CHINA FEIHE
6618,JD HEALTH
6806,SWHY
6808,SUNART RETAIL
6818,CEB BANK
6823,HKT-SS
6837,HAITONG SEC
6855,ASCENTAGE-B
6862,HAIDILAO
6869,YOFC
6881,CGS
6886,HTSC
6889,DYNAM JAPAN
6969,SMOORE INTL
9618,JD-SW
9633,NONGFU SPRING
9668,CBHB
9688,ZAI LAB-SB
9901,NEW ORIENTAL-S
9909,POWERLONG CM
9922,JIUMAOJIU
9923,YEAHKA
9926,AKESO-B
9928,TIMES NEIGHBOR
9966,ALPHAMAB-B
9968,HUIJING HLDGS
9969,INNOCARE-B
9983,CC NEW LIFE
9987,YUM CHINA-S
9988,BABA-SW
9990,ARCHOSAUR GAMES
9996,PEIJIA-B
9997,KANGJI MEDICAL
9999,NTES-S
